SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
William Henry Franklin;19-Jan;1874;KO; ;Alfred Foster;21; ;foster;Birmingham;West Midlands;England;ND;"Liverpool (England) Merucry, January 20, 1874; Manchester (England) Guardian, January 20, 1874; London Times Jan 21, 1874; Birmingham (England) Daily Post, January 24, 1874. The bout took place in a room inside Hiram Cutler's Army and Navy Inn for a prize of œ5 per side. Gloves were worn. The men fought about half an hour. Foster was knocked down by a blow to the head. He did not get up, so cold water was applied to his head. He still did not rally, so he was taken by cab to the hospital, where he was pronounced dead on arrival. Autopsy revealed blood under the arachnoid membrane. Either a blow to the nose or a fall could have caused the injuries identified. Jury ruled accidental death."; ;Pro;Brain injury;Ring;Blows: Misadventure;;
Robert Fountain;14-Jun;1874;KO;8;Duncan Blair; ; ;blair;Ballarat;Victoria;Australia;ND;"Melbourne (Australia) Argus, June 17, 1874; Otago (New Zealand) Tuapeka Times, July 4, 1874; New York Times, August 10, 1874. The two men had a quarrel that they decided to settle with a prize fight, fought according to London Prize Ring Rules. There were about thirty spectators, to include Blair's mother. The fight lasted about three quarters of an hour. Toward the end of the fight, Fountain struck Blair over the liver, and Blair collapsed. He was carried home in great pain, and on the morning of June 15, 1874, Blair's mother found him dead in his bed. The coroner's jury ruled manslaughter."; ;Pro;Brain injury;Soon after;Blows: Manslaughter;;
William Roberts;Sep/;1874;KO; ;Henry Lewis; ; ;lewis;Newport;Newport (Monmouthshire);Wales;ND;(Cardiff, Wales) Western Mail, September 7, 1874. Lewis died at the police station on Friday, September 6, 1874. Roberts and the seconds were arrested.;;Pro;;Ring;;;
William Tubbs (Thomas Leonard);1-Feb;1875;KO; ;Augustus Albert Dulgar (Albert William Dalby);24; ;dulgar;Hackney Marshes;London;England;ND;"London Times, February 5, 1875; (London) Reynolds's Newspaper, February 7, 1875; (London) Lloyd's Weekly Newspaper, February 14, 1875.  London Times, February 20, 1875; (London) Lloyd's Weekly Newspaper, February 28, 1875; London Times, April 9, 1875; New York Times, April 10, 1875; Old Bailey Online, WILLIAM TUBBS, ALFRED SLATER, WILLIAM TAYLOR, WILLIAM ROSS, THOMAS LEONARD, WILLIAM WOODYEAR, ALFRED GEORGE FINCHAM, Killing > manslaughter, 5th April 1875, t18750405-274. The two men reportedly decided to settle a quarrel with a prize-fight; the prize would be a pound stirling. After about half an hour, Dulgar's nose began bleeding profusely. He said he wanted to stop, but was told to continue. So, he fought for another forty minutes. Finally, he was knocked down, and could not get up. After the fight, he asked if he had won or lost. He was told he lost. ""I'm sorry for it,"" he said. His friends helped him walk the mile to the road, where they got a cab to carry him to his father's house, where he died. The surgeon said cause of death was concussion of the brain; other injuries included a broken nose and a fractured tooth. Leonard and eight other men were subsequently convicted of manslaughter, but the judge, Mr. Justice Brett, ruled that mutually agreed-upon fighting with fists was not a particularly heinous offense, and  the punishment was a week's imprisonment. "; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
John Ennis;5-Feb;1875;KO;84;John Hockin; ; ;hockin;Barrow-in-Furness;Cumbria;England;ND;"(London) Penny Illustrated Paper and Illustrated Times, February 13, 1875; Waikato (New Zealand) Times, June 8, 1875. The two men decided to settle a quarrel with a prize fight. There were seconds, bottle holders, and so on. The men boxed for over two hours. Finally, the police arrived. Most of the spectators fled, but Hockin was left unconscious on the ground. Hockin was carried to a nearby house, where he died about three hours later. Cause of death was attributed to a head injury. Ennis and the seconds were arrested."; ;Pro;Brain injury;Ring; ;;
Dan Dougherty;Apr/;1875;KO; ;George Siddons;;;siddons;New York;New York;USA;ND;Wellsboro (Pennsylvania) Agitator, May 18, 1875. Siddon died about a week after the fight, reportedly of injuries he sustained during the bout. Another George Siddons boxed during the 1890s, as a featherweight.;;Pro;;Ring;;;
John Mahoney;1-Aug;1875;KO; ;Simon Looney; ;;looney;Aintree Racecourse, Liverpool;Merseyside;England;ND;"London Times, August 3, 1875; (London, England) Pall Mall Gazette, August 3, 1875; Liverpool (England) Mercury, August 5, 1875. The prize was ten pounds a side. The fight was a rematch, after a fight on July 12 that resulted in a draw. This bout was stopped due to Looney having received a broken jaw and nose. He was taken to the hospital, where he died. Autopsy found a ruptured left eardrum, but cause of death was concussion of the brain. The jury ruled manslaughter."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Michael Carney;8-Oct;1875;KO;73;John Ryan;23;;ryan;Boston;Massachusetts;USA;ND;"New York Times, October 10, 1875; Fort Wayne (Indiana) Daily Sentinel, October 11, 1875. The two men decided to settle a grudge using prize-ring rules. They fought for two hours, 55 minutes. Ryan was carried home, and died the following day. Carney surrendered to the police."; ;Pro; ;Ring; ;;
Jimmy Weeden;31-Aug;1876;KO;76;Philip Kosta (Billy Walker);19;Y;kosta;Pennsville;New Jersey;USA;Light ;"Chicago Daily Tribune, September 3, 1876; Chicago Daily Tribune, September 6, 1876; New York Times, November 4, 1876; National Police Gazette, September 18, 1880, 15; Walter Campbell, ""Going back in the fight game,"" Veteran Boxer Magazine, January-March 1945. The bout took place on a river barge. The fight was a rematch, as in November 1875, the two men had fought a 41-round contest that went to Weeden. After this fight, Weeden was convicted on manslaughter charges. His second, Martin ""Fiddler"" Neary, and several others were also imprisoned. After getting out of prison, Weeden was shot to death (Salem, Ohio, Daily News, September 9, 1890)."; ;Pro;;Ring;Blows: Manslaughter; ;
Thomas McCarroll;19-Sep;1876;Sparring; ;Philip McCarroll; ; ;mccarroll;Iowa City;Iowa;USA;ND;(Lyons, Iowa) Weekly Mirror, October 7, 1876. The McCarroll brothers were boxing. During their fight, Philip was kneed in the groin. He fell, and died.; ;Pro;Groin injury;Ring;Blows;;
ND;Oct/;1876;KO; ;Smith; ; ;smith ;Stanthorpe;Queensland;Australia;ND;"Melbourne (Australia) Argus, October 18, 1876; Sydney (Australia) Mail, October 21, 1876; (Auckland, New Zealand) Daily Southern Cross, October 31, 1876. ""A miner named Smith died from the effects of a blow in a prize-fight at Stanthorpe, Queensland."""; ;Pro; ;Ring; ;;
"Patrick J. ""Paddy"" McDermott";28-Dec;1876;Ldec;24;Daniel Davidson;24;Y;davidson;Boston;Massachusetts;USA;ND;"Boston Daily Globe, December 29, 1876; New York Times, December 31, 1876; Quebec Daily Telegraph, January 4, 1877. The men were professionals, and fighting with Liverpool gloves, meaning ""the ordinary stuffed boxing-gloves with which it is impossible to inflict serious injury."" The referee was also timekeeper; there were seconds for both men. About 75 people were present, to include several uniformed police officers. The fight lasted 55 minutes, and ""for the last three or four rounds the seconds had to carry their men up to the scratch"" (Daily Telegraph). Davidson finally collapsed, and he died about an hour later. Death was attributed to cardiac trouble. "; ;Pro;Cardiac;Soon after;; ;
Richard Warmsley;27-Jan;1877;KO;2;Dennis Lynch;60; ;lynch;North Bourke;New South Wales;Australia;ND;"Sydney (Australia) Morning Herald, February 2, 1877; Brisbane (Australia) Courier, February 3, 1877; Sydney (Australia) Morning Herald, February 3, 1877.  Warmsley, aged about 26 years, and Lynch had an argument, and decided to settle the matter with a prize fight. The audience was estimated at 500 persons. Although Lynch had heart disease, cause of death was ruptured spleen, and Warmsley was charged with manslaughter."; ;Pro;Internal injuries;Ring;Blows: Manslaughter;;
Charles Garwood Thomas;7-Apr;1877;KO; ;William Taylor;28; ;taylor;South Shields;Tyne and Wear;England;ND;"(London, England) Pall Mall Gazette, April 9, 1877; Manchester (England) Times, April 14, 1877. The men were sparring at a boxing booth in Market Place. Suddenly Taylor fell over. He was dead."; ;Pro; ;Ring; ;;
ND;7-May;1877;KO; ;Jack McGrath; ; ;mcgrath;Smithfield;Queensland;Australia;ND;Brisbane (Australia) Courier, May 8, 1877. McGrath died.; ;Pro; ;Ring; ;;
ND;Jul/;1877;KO; ;Peter Connolly; ; ;connolly;Newcastle;New South Wales;Australia;ND;Sydney (Australia) Morning Herald, July 19, 1877. The bout took place a few weeks before.  After some initial dizziness, he seemed to recover. Then he collapsed. A doctor was called, but Connolly died. Cause of death was listed as concussion of the brain.; ;Pro;Brain injury;Ring; ;;
John Taylor;12-Aug;1877;KO;;William Scully;19;;scully;Melbourne;Victoria;Australia;ND;"Melbourne (Australia) Argus, August 14, 1877; Melbourne (Australia) Argus, August 15, 1877;  Melbourne (Australia) Argus, August 16, 1877;  Wellington (New Zealand) Evening Post, August 20, 1877; Melbourne (Australia) Argus, September 19, 1877. The bout took place on the banks of the Yarra River, near Alphington, on a Sunday morning. This was a rematch, and the prize was œ3.There were about fifty people in the crowd. The fight lasted about half an hour, and had four or five rounds. At the end of the last round, both men fell together. Scully was helped up, but fell off his second's knee, and the fight was stopped. A passerby transported the semi-conscious Scully to his father's home by a passerby. His father took him to the hospital about 2 p.m., and he died in hospital the following afternoon. Autopsy revealed clotted blood between the membranes of the brain on the left side. Cause of death was given as a blood clot on the brain, the result of external violence. The coroner's jury ruled guilty, and the principals were sentenced to serve between fourteen days and three months."; ;Pro;Brain injury;Ring;Blows: Manslaughter; ;
ND;20-Aug;1877;WKO;;Edward Powell; ; ;powell;Townsville;Queensland;Australia;ND;(New South Wales) Australian Town and Country Journal, September 29, 1877. Powell died on August 28, 1877, from effects of heatstroke received while fighting two hours under the direct sun.; ;Pro;Sunstroke;Later;Misadventure;;
James Fitt;15-Mar;1878;KO;2;George Cooper; ;;cooper;St. Luke's;London;England;ND;"Manchester (England) Evening News, March 17, 1878; London Times, March 18, 1878; (London, England) Illustrated Police News, March 23, 1878. The bout took place at a public house called the York Minster, in St. Luke's. Gloves were worn. Cooper stood at the start of the second round, then began convulsing. Then he collapsed, and died. The surgeon attributed death to rupture of a blood vessel of the brain."; ;Pro;Brain injury;Ring;Blows: Misadventure;;
Henry Dunn;30-Mar;1878;KO;13;Charles Scarr;29; ;scarr;Heaton;Manchester;England;ND;"Leeds (England) Mercury, April 2, 1878; (Exeter, England) Trewman's Exeter Flying Post or Plymouth and Cornish Advertiser, April 3, 1878. According to the widow, Scarr left home about eight in the morning, on a Saturday, dressed in his best clothes. He came home, unconscious, in a cab, at about noon, and was at about ten minutes to six that evening. The prize was six pounds. There were about fifty spectators. Cause of death was extravasation of blood between the membrane and upper surface of the brain. The surgeon said the bleeding was the result of recent violence, probably a fall rather than a blow with a fist.  Dunn was held over for manslaughter."; ;Pro;Brain injury;Ring;Fall: Manslaughter;;
Harrop;Aug/;1878;KO; ;John Pall; ; ;pall;Kadina;South Australia;Australia;ND;Maitland (Australia) Mercury and Hunter River General Advertiser, August 29, 1878. Pall was injured in the fight and died a few days later. Harrop was arrested, and charged with manslaughter.; ;Pro; ;Ring; ;;
Frank Rutt;9-Jun;1881;KO;;Thomas Moss;;;moss;Bangor;Pennsylvania;USA;ND;Indiana (Pennsylvania) Weekly Messenger, June 15, 1881. Cause of death was attributed to a blow to the chest. Death was almost instantaneous.;;Pro;Cardiac;Ring;Blows: Misadventure;;
John Macartney;Jun/;1881;KO; ;John Thomas Smeed; ; ;smeed;Rochester;Kent;England;ND;(Cardiff, Wales) Western Mail, June 15, 1881. The men had a glove fight. A few days later, Smeed died of injuries. Macartney was arrested.;;Pro; ;Ring; ;;
